zones,annee,saison,type,superficie,production,station,cloud_cover_mean_saison,et0_fao_evapotranspiration_saison,nb_jours_pluie,nb_jours_saison,precipitation_hours_saison,precipitation_sum_saison,shortwave_radiation_saison,soil_moisture_saison,soil_temperature_saison,sunshine_duration_saison,temperature_2m_mean_saison,wind_speed_10m_max_saison
Ndebougou,2019,hivernage,casiers,19589.19,117926.92,ndebougou,57.26229508196721,5.328032786885246,77.0,122,377,356.1,20.122213114754096,0.3104590163934426,32.54754098360656,4300870.31,29.979508196721312,15.166393442622951
Ndebougou,2019,hivernage,hors_casiers,210.61,941.43,ndebougou,57.26229508196721,5.328032786885246,77.0,122,377,356.1,20.122213114754096,0.3104590163934426,32.54754098360656,4300870.31,29.979508196721312,15.166393442622951
Ndebougou,2019,contre_saison,casiers,1620.46,9561.0,ndebougou,38.7,7.785083333333334,5.0,120,7,2.2,21.941333333333333,0.26565833333333333,29.399166666666666,4508391.2700000005,28.009166666666665,17.148333333333333
Kouroumari,2019,hivernage,casiers,26707.0,167185.82,kouroumari,54.82786885245902,5.58672131147541,65.0,122,312,261.4,20.36672131147541,0.2919344262295082,32.90573770491803,4284288.66,30.531967213114754,15.618032786885246
Kouroumari,2019,hivernage,hors_casiers,1399.03,5666.07,kouroumari,54.82786885245902,5.58672131147541,65.0,122,312,261.4,20.36672131147541,0.2919344262295082,32.90573770491803,4284288.66,30.531967213114754,15.618032786885246
Kouroumari,2019,contre_saison,casiers,1587.65,8684.0,kouroumari,38.458333333333336,8.15125,2.0,120,2,0.2,21.973583333333334,0.25756666666666667,28.954166666666666,4525355.79,27.634166666666665,18.885833333333334
Mbewani,2019,hivernage,casiers,19719.5,122320.06,mbewani,59.72950819672131,5.100409836065574,79.0,122,404,466.0,20.19516393442623,0.32827868852459013,31.875409836065575,4233349.7,29.291803278688523,15.024590163934427
Mbewani,2019,hivernage,hors_casiers,244.28,1246.32,mbewani,59.72950819672131,5.100409836065574,79.0,122,404,466.0,20.19516393442623,0.32827868852459013,31.875409836065575,4233349.7,29.291803278688523,15.024590163934427
Mbewani,2019,contre_saison,casiers,1587.61,8097.0,mbewani,38.516666666666666,7.5408333333333335,4.0,120,9,3.6000000000000005,22.193666666666665,0.27922500000000006,28.745,4545794.19,27.828333333333333,16.275
Kemacina,2020,hivernage,casiers,10549.0,67091.64,kemacina,63.51639344262295,4.859999999999999,70.0,122,465,410.0,19.446147540983606,0.23390983606557375,30.775409836065574,4094971.88,28.641803278688528,15.116393442622952
Kemacina,2020,hivernage,hors_casiers,37.79,204.066,kemacina,63.51639344262295,4.859999999999999,70.0,122,465,410.0,19.446147540983606,0.23390983606557375,30.775409836065574,4094971.88,28.641803278688528,15.116393442622952
Kemacina,2020,contre_saison,casiers,1827.08,10762.0,kemacina,44.70247933884298,7.918512396694215,7.0,121,13,2.6999999999999997,22.087272727272726,0.15383471074380167,29.723140495867767,4492345.03,29.079338842975204,16.88099173553719
Kolongo,2020,hivernage,casiers,11096.0,70459.6,kolongo,62.532786885245905,5.108196721311476,67.0,122,437,402.4,19.736229508196722,0.35733606557377046,31.982786885245904,4166841.25,28.975409836065573,17.45327868852459
Kolongo,2020,hivernage,hors_casiers,2207.26,11477.75,kolongo,62.532786885245905,5.108196721311476,67.0,122,437,402.4,19.736229508196722,0.35733606557377046,31.982786885245904,4166841.25,28.975409836065573,17.45327868852459
Kolongo,2020,contre_saison,casiers,960.78,5317.92,kolongo,44.69421487603306,8.331322314049586,3.0,121,8,1.3,22.156446280991734,0.2795867768595041,30.531404958677687,4525478.83,29.09090909090909,19.46363636363636
Sosse_sibila,2020,hivernage,casiers,4598.09,15219.68,sosse,64.5,4.567868852459016,77.0,122,524,458.1,18.910737704918034,0.38890163934426225,31.030327868852456,4041073.63,28.263934426229508,15.244262295081967
Sosse_sibila,2020,hivernage,hors_casiers,,,sosse,64.5,4.567868852459016,77.0,122,524,458.1,18.910737704918034,0.38890163934426225,31.030327868852456,4041073.63,28.263934426229508,15.244262295081967
Niono,2020,hivernage,casiers,13865.0,89429.25,niono,62.31967213114754,4.931393442622951,76.0,122,425,416.1,19.203196721311475,0.20797540983606558,31.36229508196721,4108764.94,29.01311475409836,15.457377049180327
Niono,2020,hivernage,hors_casiers,430.0,2322.0,niono,62.31967213114754,4.931393442622951,76.0,122,425,416.1,19.203196721311475,0.20797540983606558,31.36229508196721,4108764.94,29.01311475409836,15.457377049180327
Niono,2020,contre_saison,casiers,1890.0,10338.3,niono,45.20661157024794,8.063553719008263,3.0,121,9,3.3000000000000003,21.742727272727272,0.1500495867768595,30.272727272727273,4499860.46,29.115702479338843,17.78099173553719
Molodo,2020,hivernage,casiers,12251.98,75901.02,molodo,62.31967213114754,4.932295081967213,76.0,122,425,416.1,19.203196721311475,0.20797540983606558,31.370491803278686,4108764.94,29.022131147540982,15.457377049180327
Molodo,2020,hivernage,hors_casiers,1057.8,4865.88,molodo,62.31967213114754,4.932295081967213,76.0,122,425,416.1,19.203196721311475,0.20797540983606558,31.370491803278686,4108764.94,29.022131147540982,15.457377049180327
Molodo,2020,contre_saison,casiers,2006.93,12248.29,molodo,45.20661157024794,8.065371900826445,3.0,121,9,3.3000000000000003,21.742727272727272,0.1500495867768595,30.289256198347108,4499860.46,29.13305785123967,17.78099173553719
Ndebougou,2020,hivernage,casiers,19521.0,119078.1,ndebougou,61.19672131147541,5.1110655737704915,72.0,122,424,337.2,19.37155737704918,0.29204098360655734,32.18524590163934,4162091.42,29.39918032786885,15.498360655737704
Ndebougou,2020,hivernage,hors_casiers,274.0,1424.8,ndebougou,61.19672131147541,5.1110655737704915,72.0,122,424,337.2,19.37155737704918,0.29204098360655734,32.18524590163934,4162091.42,29.39918032786885,15.498360655737704
Ndebougou,2020,contre_saison,casiers,1370.5,8209.0,ndebougou,45.00826446280992,8.079586776859504,3.0,121,10,4.0,21.772975206611573,0.274702479338843,30.580165289256197,4521196.94,29.164462809917357,17.70495867768595
Kouroumari,2020,hivernage,casiers,26679.26,164077.45,kouroumari,57.99180327868852,5.5048360655737705,65.0,122,356,299.4,19.723852459016392,0.2807950819672131,32.90491803278689,4151482.31,30.272950819672133,16.250819672131147
Kouroumari,2020,hivernage,hors_casiers,1628.0,8140.0,kouroumari,57.99180327868852,5.5048360655737705,65.0,122,356,299.4,19.723852459016392,0.2807950819672131,32.90491803278689,4151482.31,30.272950819672133,16.250819672131147
Kouroumari,2020,contre_saison,casiers,1750.0,9765.0,kouroumari,44.11570247933884,8.525537190082645,3.0,121,13,3.8000000000000003,21.891487603305784,0.2775289256198347,30.06198347107438,4522806.67,28.863636363636363,19.17685950413223
Mbewani,2020,hivernage,casiers,19948.0,127667.2,mbewani,64.24590163934427,4.799426229508197,78.0,122,506,494.40000000000003,19.242295081967214,0.3398934426229508,31.120491803278686,4084133.57,28.525409836065574,15.427049180327868
Mbewani,2020,hivernage,hors_casiers,360.0,1980.0,mbewani,64.24590163934427,4.799426229508197,78.0,122,506,494.40000000000003,19.242295081967214,0.3398934426229508,31.120491803278686,4084133.57,28.525409836065574,15.427049180327868
Mbewani,2020,contre_saison,casiers,2665.0,13937.95,mbewani,45.28099173553719,7.871074380165289,4.0,121,7,1.6,22.001570247933884,0.27571074380165295,30.12479338842975,4491987.56,29.077685950413223,17.095867768595042
Kemacina,2021,hivernage,casiers,10352.32,66254.848,kemacina,54.74590163934426,5.224098360655738,65.0,122,309,260.0,20.51983606557377,0.22981967213114754,31.342622950819674,4345504.71,29.195081967213117,14.972131147540983
Kemacina,2021,hivernage,hors_casiers,65.13,352.35,kemacina,54.74590163934426,5.224098360655738,65.0,122,309,260.0,20.51983606557377,0.22981967213114754,31.342622950819674,4345504.71,29.195081967213117,14.972131147540983
Kemacina,2021,contre_saison,casiers,1469.32,7934.33,kemacina,29.158333333333335,8.148916666666667,,120,0,0.0,22.537750000000003,0.15330000000000002,30.261666666666667,4592342.09,29.738333333333333,16.798333333333332
Kolongo,2021,hivernage,casiers,11048.56,70931.755,kolongo,54.532786885245905,5.549016393442623,60.0,122,268,239.6,20.628688524590164,0.3265245901639344,32.9344262295082,4384190.28,29.687704918032786,17.421311475409837
Kolongo,2021,hivernage,hors_casiers,2325.93,12157.64,kolongo,54.532786885245905,5.549016393442623,60.0,122,268,239.6,20.628688524590164,0.3265245901639344,32.9344262295082,4384190.28,29.687704918032786,17.421311475409837
Kolongo,2021,contre_saison,casiers,732.58,3970.58,kolongo,29.483333333333334,8.582166666666666,,120,0,0.0,22.507083333333334,0.28339166666666665,30.889166666666664,4577289.67,29.7325,19.309166666666666
Sosse_sibila,2021,hivernage,casiers,4598.09,14952.99,sosse,56.549180327868854,4.966147540983607,81.0,122,372,308.5,20.282459016393442,0.3710573770491803,31.763934426229508,4322542.4799999995,28.786065573770493,15.100819672131147
Sosse_sibila,2021,hivernage,hors_casiers,,,sosse,56.549180327868854,4.966147540983607,81.0,122,372,308.5,20.282459016393442,0.3710573770491803,31.763934426229508,4322542.4799999995,28.786065573770493,15.100819672131147
Niono,2021,hivernage,casiers,14130.0,91421.1,niono,54.51639344262295,5.441557377049181,67.0,122,270,223.5,20.248360655737706,0.18278688524590164,32.55573770491804,4362803.49,29.873770491803278,15.740983606557378
Niono,2021,hivernage,hors_casiers,186.889,1003.22,niono,54.51639344262295,5.441557377049181,67.0,122,270,223.5,20.248360655737706,0.18278688524590164,32.55573770491804,4362803.49,29.873770491803278,15.740983606557378
Niono,2021,contre_saison,casiers,1803.72,9902.42,niono,28.75,8.3505,,120,0,0.0,22.226666666666667,0.149125,30.87,4591768.35,29.83083333333333,17.845000000000002
Molodo,2021,hivernage,casiers,12239.83,76498.938,molodo,54.51639344262295,5.4430327868852455,67.0,122,270,223.5,20.248360655737706,0.18278688524590164,32.5672131147541,4362803.49,29.885245901639344,15.740983606557378
Molodo,2021,hivernage,hors_casiers,500.93,2484.61,molodo,54.51639344262295,5.4430327868852455,67.0,122,270,223.5,20.248360655737706,0.18278688524590164,32.5672131147541,4362803.49,29.885245901639344,15.740983606557378
Molodo,2021,contre_saison,casiers,1361.8,7621.99,molodo,28.75,8.352416666666667,,120,0,0.0,22.226666666666667,0.149125,30.888333333333332,4591768.35,29.848333333333336,17.845000000000002
Ndebougou,2021,hivernage,casiers,19232.62,119626.9,ndebougou,54.13934426229508,5.569508196721312,60.0,122,254,228.6,20.289918032786883,0.3082950819672131,33.12868852459016,4377514.11,30.22295081967213,15.85655737704918
Ndebougou,2021,hivernage,hors_casiers,128.4,577.16,ndebougou,54.13934426229508,5.569508196721312,60.0,122,254,228.6,20.289918032786883,0.3082950819672131,33.12868852459016,4377514.11,30.22295081967213,15.85655737704918
Ndebougou,2021,contre_saison,casiers,1247.89,7312.64,ndebougou,28.375,8.372666666666667,,120,0,0.0,22.185583333333334,0.2718166666666667,31.29416666666667,4595685.97,29.88,17.8075
Kouroumari,2021,hivernage,casiers,22445.0,137138.95,kouroumari,51.34426229508197,5.948852459016393,49.0,122,176,131.8,20.79213114754098,0.315344262295082,33.50983606557377,4492454.73,30.925409836065576,16.692622950819672
Kouroumari,2021,hivernage,hors_casiers,867.74,3765.99,kouroumari,51.34426229508197,5.948852459016393,49.0,122,176,131.8,20.79213114754098,0.315344262295082,33.50983606557377,4492454.73,30.925409836065576,16.692622950819672
Kouroumari,2021,contre_saison,casiers,1487.73,8227.15,kouroumari,26.95,8.735583333333333,,120,0,0.0,22.138416666666668,0.275,30.735,4552966.17,29.540833333333335,19.145833333333332
Mbewani,2021,hivernage,casiers,19265.0,121446.56,mbewani,56.07377049180328,5.248360655737705,75.0,122,345,291.3,20.457049180327868,0.315172131147541,32.09426229508197,4331027.8,29.214754098360654,15.548360655737707
